Fuel_Type,Body_Type,Kilometers_Driven,Transmission,Number_of_Owners,Owner_Details,OEM,Car_Model,Year_of_Manufacture,Variant_Name,Price,Registration_Year,Insurance_Validity,Seats,Kms_Driven,RTO,Ownership,Engine_Displacement,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Centeral Locking,Child Safety Locks,Power Windows Rear,Remote Trunk Opener,Remote Fuel Lid Opener,Low Fuel Warning Light,Accessory Power Outlet,Vanity Mirror,Rear Seat Headrest,Cup Holders Front,Digital Odometer,Electronic Multi Tripmeter,Fabric Upholstery,Glove Compartment,Digital Clock,Wheel Covers,Power Antenna,Chrome Grille,Day Night Rear View Mirror,Passenger Side Rear View Mirror,Halogen Headlamps,Rear Seat Belts,Door Ajar Warning,Side Impact Beams,Front Impact Beams,Adjustable Seats,Centrally Mounted Fuel Tank,Engine Immobilizer,Anti Theft Device,mileage,engine,max_power,torque,seats,engine_type,displacement,cylinders,length,width,height
Petrol,Hatchback,"1,20,000",Manual,3,3rd Owner,Maruti,Maruti Celerio,2015.0,VXI,₹ 4 Lakh,2015,Third Party insurance,5 Seats,"1,20,000 Kms",KA51,Third Owner,998 cc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23.1 kmpl,998 CC,67.04bhp,90Nm,5,K10B Engine,998,3.0,3715mm,1635mm,1565mm
Petrol,SUV,"32,706",Manual,2,2nd Owner,Ford,Ford Ecosport,2018.0,1.5 Petrol Titanium BSIV,₹ 8.11 Lakh,Feb 2018,Comprehensive,5 Seats,"32,706 Kms",KA05,Second Owner,1497 cc,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,17 kmpl,1497 CC,121.31bhp,150Nm,16,Ti-VCT Petrol Engine,1497,3.0,3998mm,1765mm,1647mm
Petrol,Hatchback,"11,949",Manual,1,1st Owner,Tata,Tata Tiago,2018.0,1.2 Revotron XZ,₹ 5.85 Lakh,Sept 2018,Comprehensive,5 Seats,"11,949 Kms",KA03,First Owner,1199 cc,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,23.84 kmpl,1199 CC,84bhp,114Nm,14,Revotron Engine,1199,3.0,3746mm,1647mm,1535mm
Petrol,Sedan,"17,794",Manual,1,1st Owner,Hyundai,Hyundai Xcent,2014.0,1.2 Kappa S Option,₹ 4.62 Lakh,Dec 2014,Comprehensive,5 Seats,"17,794 Kms",KA53,First Owner,1197 cc,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,19.1 kmpl,1197 CC,81.86bhp,113.75Nm,14,Kappa VTVT Petrol Engine,1197,4.0,3995mm,1660mm,1520mm
Diesel,SUV,"60,000",Manual,1,1st Owner,Maruti,Maruti SX4 S Cross,2015.0,DDiS 200 Zeta,₹ 7.90 Lakh,2015,Third Party insurance,5 Seats,"60,000 Kms",KA04,First Owner,1248 cc,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,23.65 kmpl,1248 CC,88.5bhp,200Nm,16,DDiS 200 Diesel Engine,1248,4.0,4300mm,1785mm,1595mm
Diesel,SUV,"20,000",Manual,1,1st Owner,Jeep,Jeep Compass,2020.0,2.0 Longitude BSIV,₹ 19 Lakh,2020,Third Party insurance,5 Seats,"20,000 Kms",KA04,First Owner,1956 cc,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,17.1 kmpl,1956 CC,170bhp,350Nm,17,2.0-Litre 4-Cyl Multijet II Engine,1956,4.0,4395mm,1818mm,1640mm
Petrol,Hatchback,"37,772",Manual,1,1st Owner,Datsun,Datsun GO,2017.0,T Option BSIV,₹ 3.45 Lakh,Aug 2017,Comprehensive,5 Seats,"37,772 Kms",KA05,First Owner,1198 cc,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,20.63 kmpl,1198 CC,67bhp,104Nm,5,Petrol Engine,1198,3.0,3785mm,1635mm,1490mm
Petrol,SUV,"30,000",Automatic,1,1st Owner,Hyundai,Hyundai Venue,2021.0,SX Plus Turbo DCT BSIV,₹ 12 Lakh,2021,Third Party insurance,5 Seats,"30,000 Kms",KA51,First Owner,998 cc,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,18.15 kmpl,998 CC,118.35bhp,171.6Nm,16,,998,3.0,3995 mm,1770 mm,1605 mm
Petrol,Sedan,"37,000",Automatic,1,1st Owner,Maruti,Maruti Ciaz,2018.0,Alpha Automatic BSIV,₹ 9.60 Lakh,Aug 2018,Comprehensive,5 Seats,"37,000 Kms",KA03,First Owner,1462 cc,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,20.28 kmpl,1462 CC,103.25bhp,138Nm,16,k15B VVT Engine,1462,4.0,4490 mm,1730 mm,1485 mm
Petrol,Hatchback,"11,949",Manual,1,1st Owner,Tata,Tata Tiago,2017.0,1.2 Revotron XZ WO Alloy,₹ 5.85 Lakh,Jan 2018,Comprehensive,5 Seats,"11,949 Kms",KA03,First Owner,1199 cc,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,23.84 kmpl,1199 CC,84bhp,114Nm,5,Revotron Engine,1199,3.0,3746mm,1647mm,1535mm
